iter	Passed	Remaining
237	1843	9775
238	1851	9767
239	1858	9758
240	1865	9746
241	1872	9736
242	1879	9724
243	1887	9714
244	1894	9703
245	1901	9692
246	1909	9684
247	1916	9675
248	1924	9666
249	1931	9655
250	1937	9642
251	1944	9629
252	1951	9619
253	1958	9608
254	1965	9596
255	1973	9587
256	1980	9578
257	1987	9566
258	1994	9558
259	2002	9549
260	2009	9540
261	2016	9530
262	2023	9518
263	2030	9507
264	2038	9498
265	2045	9488
266	2052	9477
267	2059	9467
268	2066	9456
269	2073	9447
270	2080	9436
271	2087	9422
272	2094	9412
273	2101	9402
274	2109	9395
275	2116	9385
276	2123	9377
277	2130	9365
278	2137	9354
279	2144	9343
280	2151	9333
281	2158	9324
282	2166	9317
283	2173	9308
284	2181	9299
285	2188	9290
286	2196	9281
287	2203	9273
288	2210	9263
289	2217	9252
290	2225	9244
291	2232	9236
292	2239	9226
293	2246	9216
294	2254	9209
295	2262	9203
296	2269	9194
297	2277	9184
298	2284	9175
299	2291	9165
300	2298	9156
301	2305	9147
302	2313	9137
303	2320	9128
304	2327	9117
305	2333	9107
306	2340	9096
307	2348	9087
308	2355	9077
309	2362	9068
310	2369	9059
311	2376	9049
312	2383	9039
313	2390	9030
314	2397	9020
315	2404	9011
316	2411	9001
317	2419	8992
318	2425	8980
319	2432	8968
320	2439	8958
321	2445	8945
322	2451	8932
323	2458	8922
324	2465	8911
325	2472	8904
326	2478	8892
327	2485	8880
328	2492	8872
329	2499	8862
330	2508	8859
331	2515	8850
332	2523	8841
333	2530	8832
334	2537	8825
335	2544	8816
336	2551	8806
337	2559	8798
338	2566	8788
339	2572	8778
340	2580	8770
341	2588	8763
342	2595	8754
343	2602	8746
344	2609	8737
345	2617	8729
346	2625	8723
347	2632	8715
348	2640	8707
349	2647	8698
350	2654	8689
351	2661	8680
352	2669	8673
353	2676	8664
354	2684	8657
355	2691	8649
356	2698	8640
357	2705	8631
358	2713	8622
359	2720	8614
360	2727	8605
361	2735	8597
362	2742	8589
363	2749	8581
364	2757	8573
365	2764	8565
366	2771	8557
367	2779	8549
368	2786	8541
369	2793	8532
370	2801	8524
371	2808	8515
372	2815	8506
373	2822	8497
374	2829	8489
375	2837	8481
376	2844	8474
377	2851	8465
378	2859	8456
379	2866	8447
380	2872	8438
381	2880	8429
382	2887	8421
383	2894	8412
384	2901	8403
385	2909	8395
386	2916	8388
387	2924	8380
388	2931	8372
389	2938	8364
390	2945	8355
391	2953	8347
392	2960	8340
393	2968	8332
394	2975	8324
395	2982	8315
396	2990	8308
397	2997	8299
398	3004	8291
399	3011	8281
400	3018	8272
401	3025	8263
402	3033	8257
403	3040	8249
404	3048	8241
405	3055	8234
406	3062	8225
407	3070	8217
408	3077	8209
409	3084	8201
410	3091	8192
411	3099	8184
412	3106	8176
413	3113	8168
414	3120	8158
415	3127	8149
416	3134	8141
417	3142	8135
418	3150	8128
419	3157	8119
420	3164	8111
421	3172	8103
422	3179	8095
423	3187	8089
424	3194	8079
425	3201	8071
426	3208	8062
427	3215	8053
428	3222	8045
429	3229	8036
430	3237	8030
431	3245	8023
432	3253	8016
433	3260	8008
434	3267	8000
435	3275	7993
436	3282	7985
437	3290	7977
438	3297	7968
439	3304	7960
440	3311	7953
441	3319	7945
442	3327	7939
443	3334	7931
444	3342	7924
445	3350	7917
446	3357	7909
447	3364	7901
448	3372	7894
449	3380	7888
450	3388	7881
451	3395	7873
452	3402	7865
453	3410	7857
454	3417	7848
455	3424	7840
456	3432	7833
457	3439	7824
458	3446	7816
459	3453	7808
460	3460	7800
461	3468	7792
462	3475	7784
463	3482	7775
464	3489	7767
465	3496	7758
466	3503	7749
467	3511	7742
468	3517	7733
469	3525	7725
470	3532	7717
471	3539	7709
472	3547	7702
473	3554	7693
474	3561	7685
475	3569	7678
476	3576	7670
477	3583	7661
478	3590	7652
479	3597	7644
480	3604	7636
481	3611	7627
482	3619	7620
483	3626	7612
484	3633	7604
485	3640	7596
486	3648	7588
487	3655	7580
488	3663	7573
489	3671	7567
490	3678	7560
491	3686	7552
492	3693	7543
493	3700	7535
494	3707	7528
495	3715	7520
496	3722	7512
497	3729	7504
498	3736	7495
499	3744	7489
500	3752	7482
501	3758	7472
502	3764	7462
503	3772	7455
504	3779	7446
505	3785	7437
506	3793	7430
507	3799	7419
508	3805	7409
509	3813	7402
510	3820	7393
511	3826	7383
512	3833	7376
513	3841	7369
514	3849	7362
515	3855	7352
516	3861	7342
517	3869	7335
518	3876	7326
519	3882	7316
520	3888	7307
521	3896	7300
522	3902	7290
523	3909	7281
524	3915	7271
525	3922	7263
526	3930	7256
527	3937	7248
528	3945	7241
529	3951	7232
530	3958	7223
531	3964	7213
532	3970	7203
533	3977	7194
534	3985	7188
535	3992	7180
536	3999	7172
537	4006	7163
538	4014	7157
539	4021	7149
540	4029	7142
541	4037	7135
542	4044	7127
543	4051	7120
544	4059	7112
545	4066	7105
546	4073	7097
547	4081	7090
548	4088	7082
549	4096	7075
550	4103	7067
551	4111	7060
552	4119	7054
553	4127	7047
554	4134	7039
555	4141	7031
556	4148	7024
557	4155	7016
558	4162	7007
559	4170	7000
560	4177	6992
561	4184	6983
562	4191	6975
563	4199	6968
564	4206	6961
565	4213	6953
566	4221	6945
567	4228	6938
568	4235	6929
569	4242	6922
570	4249	6914
571	4257	6906
572	4264	6898
573	4271	6890
574	4278	6883
575	4285	6875
576	4293	6868
577	4297	6854
578	4305	6847
579	4312	6840
580	4319	6832
581	4326	6824
582	4334	6817
583	4341	6808
584	4348	6800
585	4354	6792
586	4362	6785
587	4370	6778
588	4377	6770
589	4384	6762
590	4391	6754
591	4398	6746
592	4405	6738
593	4413	6731
594	4421	6724
595	4428	6717
596	4436	6710
597	4442	6701
598	4450	6693
599	4457	6686
600	4464	6678
601	4472	6671
602	4479	6663
603	4486	6655
604	4493	6647
605	4500	6639
606	4508	6632
607	4515	6624
608	4521	6615
609	4528	6607
610	4536	6600
611	4543	6592
612	4550	6584
613	4557	6576
614	4564	6569
615	4571	6560
616	4578	6552
617	4585	6544
618	4592	6536
619	4599	6528
620	4606	6520
621	4614	6513
622	4621	6506
623	4629	6498
624	4637	6492
625	4644	6484
626	4652	6477
627	4658	6468
628	4666	6461
629	4673	6453
630	4680	6445
631	4687	6437
632	4694	6429
633	4700	6421
634	4708	6413
635	4715	6405
636	4722	6398
637	4729	6390
638	4737	6382
639	4744	6374
640	4751	6367
641	4758	6359
642	4765	6351
643	4773	6344
644	4780	6337
645	4787	6328
646	4794	6320
647	4801	6313
648	4808	6305
649	4816	6298
650	4823	6290
651	4830	6283
652	4838	6275
653	4845	6268
654	4853	6260
655	4860	6252
656	4867	6245
657	4874	6237
658	4881	6229
659	4888	6222
660	4895	6214
661	4902	6206
662	4909	6198
663	4916	6190
664	4923	6182
665	4930	6174
666	4937	6166
667	4944	6158
668	4951	6150
669	4959	6143
670	4966	6136
671	4973	6128
672	4980	6120
673	4988	6112
674	4994	6104
675	5002	6097
676	5008	6089
677	5015	6081
678	5022	6073
679	5030	6065
680	5037	6058
681	5044	6051
682	5052	6043
683	5059	6035
684	5066	6027
685	5073	6019
686	5082	6014
687	5088	6005
688	5095	5997
689	5101	5988
690	5108	5980
691	5115	5972
692	5122	5965
693	5129	5957
694	5136	5949
695	5143	5941
696	5149	5932
697	5156	5924
698	5162	5915
699	5168	5906
700	5175	5898
701	5182	5891
702	5189	5883
703	5197	5876
704	5203	5867
705	5209	5858
706	5216	5851
707	5223	5842
708	5229	5833
709	5236	5826
710	5242	5818
711	5249	5809
712	5257	5802
713	5263	5793
714	5269	5785
715	5276	5777
716	5283	5770
717	5291	5763
718	5298	5755
719	5306	5748
720	5313	5740
721	5319	5732
722	5326	5724
723	5334	5717
724	5340	5709
725	5347	5701
726	5355	5694
727	5363	5687
728	5369	5679
729	5376	5670
730	5383	5663
731	5390	5655
732	5395	5646
733	5402	5637
734	5408	5629
735	5414	5620
736	5421	5613
737	5429	5605
738	5436	5598
739	5443	5590
740	5451	5583
741	5458	5576
742	5466	5569
743	5473	5561
744	5480	5553
745	5487	5546
746	5494	5538
747	5501	5531
748	5508	5523
749	5515	5515
750	5523	5508
751	5530	5500
752	5537	5493
753	5544	5485
754	5551	5477
755	5558	5470
756	5565	5463
757	5573	5455
758	5580	5448
759	5587	5440
760	5595	5433
761	5603	5426
762	5610	5419
763	5617	5411
764	5624	5403
765	5632	5397
766	5639	5389
767	5647	5382
768	5655	5375
769	5662	5368
770	5669	5360
771	5676	5353
772	5684	5345
773	5691	5338
774	5698	5330
775	5704	5322
776	5711	5314
777	5718	5307
778	5725	5299
779	5733	5292
780	5740	5285
781	5747	5277
782	5754	5269
783	5761	5261
784	5768	5253
785	5775	5246
786	5782	5238
787	5789	5231
788	5797	5223
789	5804	5216
790	5812	5209
791	5819	5202
792	5826	5195
793	5833	5187
794	5841	5179
795	5848	5172
796	5856	5165
797	5863	5157
798	5870	5150
799	5876	5142
800	5884	5135
801	5891	5127
802	5898	5119
803	5905	5112
804	5913	5105
805	5920	5097
806	5927	5090
807	5934	5082
808	5941	5074
809	5948	5067
810	5956	5060
811	5963	5053
812	5971	5045
813	5978	5038
814	5986	5031
815	5994	5024
816	6001	5016
817	6008	5009
818	6014	5001
819	6022	4993
820	6029	4986
821	6036	4979
822	6043	4971
823	6050	4963
824	6057	4956
825	6065	4948
826	6072	4941
827	6079	4934
828	6086	4926
829	6093	4918
830	6100	4911
831	6108	4904
832	6115	4897
833	6123	4889
834	6130	4882
835	6136	4874
836	6144	4867
837	6152	4860
838	6159	4852
839	6166	4845
840	6173	4837
841	6181	4830
842	6188	4822
843	6195	4815
844	6202	4808
845	6210	4800
846	6217	4793
847	6225	4786
848	6233	4779
849	6241	4772
850	6248	4765
851	6255	4757
852	6262	4749
853	6268	4742
854	6276	4734
855	6283	4727
856	6291	4720
857	6298	4712
858	6305	4705
859	6312	4697
860	6319	4689
861	6326	4682
862	6333	4674
863	6340	4667
864	6347	4659
865	6355	4652
866	6362	4645
867	6370	4638
868	6379	4632
869	6387	4625
870	6394	4618
871	6402	4610
872	6409	4603
873	6416	4595
874	6423	4588
875	6430	4580
876	6437	4573
877	6445	4566
878	6452	4558
879	6459	4551
880	6466	4543
881	6473	4535
882	6481	4528
883	6488	4521
884	6495	4513
885	6502	4506
886	6510	4499
887	6517	4492
888	6525	4484
889	6532	4477
890	6540	4470
891	6547	4463
892	6554	4455
893	6562	4448
894	6569	4440
895	6576	4433
896	6584	4426
897	6591	4418
898	6598	4411
899	6605	4403
900	6612	4396
901	6619	4388
902	6626	4381
903	6634	4374
904	6641	4366
905	6649	4359
906	6656	4351
907	6663	4344
908	6671	4337
909	6678	4330
910	6685	4322
911	6693	4315
912	6699	4307
913	6707	4300
914	6714	4292
915	6721	4285
916	6729	4278
917	6736	4270
918	6743	4263
919	6751	4256
920	6758	4248
921	6766	4241
922	6773	4234
923	6780	4226
924	6787	4219
925	6794	4211
926	6801	4204
927	6809	4197
928	6816	4189
929	6824	4182
930	6831	4175
931	6838	4167
932	6846	4160
933	6853	4153
934	6860	4145
935	6867	4138
936	6875	4131
937	6882	4123
938	6890	4116
939	6897	4109
940	6904	4101
941	6912	4094
942	6919	4087
943	6926	4079
944	6934	4072
945	6941	4065
946	6948	4057
947	6956	4050
948	6963	4043
949	6970	4035
950	6977	4028
951	6984	4020
952	6992	4013
953	6999	4005
954	7006	3998
955	7014	3991
956	7025	3986
957	7039	3982
958	7050	3977
959	7058	3970
960	7065	3962
961	7073	3955
962	7079	3947
963	7085	3939
964	7092	3931
965	7098	3924
966	7105	3916
967	7112	3909
968	7119	3901
969	7126	3894
970	7134	3886
971	7141	3879
972	7148	3871
973	7155	3864
974	7163	3857
975	7169	3849
976	7177	3842
977	7184	3834
978	7191	3827
979	7199	3820
980	7206	3812
981	7214	3805
982	7221	3798
983	7228	3790
984	7236	3783
985	7243	3775
986	7250	3768
987	7259	3762
988	7268	3755
989	7276	3748
990	7283	3740
991	7292	3734
992	7299	3727
993	7307	3720
994	7315	3712
995	7323	3705
996	7330	3698
997	7337	3690
998	7345	3683
999	7353	3676
1000	7361	3669
1001	7368	3662
1002	7375	3654
1003	7383	3647
1004	7391	3640
1005	7398	3632
1006	7405	3625
1007	7412	3617
1008	7419	3610
1009	7427	3603
1010	7435	3596
1011	7443	3589
1012	7450	3581
1013	7457	3574
1014	7464	3566
1015	7471	3559
1016	7478	3551
1017	7485	3544
1018	7492	3536
1019	7500	3529
1020	7507	3522
1021	7514	3514
1022	7521	3507
1023	7528	3499
1024	7535	3492
1025	7542	3484
1026	7549	3477
1027	7556	3469
1028	7564	3462
1029	7570	3454
1030	7577	3447
1031	7585	3439
1032	7593	3432
1033	7600	3425
1034	7607	3418
1035	7614	3410
1036	7621	3402
1037	7628	3395
1038	7635	3388
1039	7643	3380
1040	7650	3373
1041	7658	3366
1042	7666	3358
1043	7673	3351
1044	7681	3344
1045	7688	3337
1046	7696	3329
1047	7702	3322
1048	7709	3314
1049	7717	3307
1050	7724	3299
1051	7733	3293
1052	7740	3286
1053	7747	3278
1054	7754	3270
1055	7762	3263
1056	7769	3256
1057	7776	3248
1058	7784	3241
1059	7792	3234
1060	7799	3227
1061	7807	3219
1062	7813	3212
1063	7820	3204
1064	7828	3197
1065	7835	3190
1066	7842	3182
1067	7849	3175
1068	7856	3167
1069	7863	3160
1070	7870	3152
1071	7877	3145
1072	7885	3137
1073	7892	3130
1074	7899	3123
1075	7906	3115
1076	7914	3108
1077	7921	3100
1078	7928	3093
1079	7936	3086
1080	7943	3078
1081	7950	3071
1082	7958	3064
1083	7965	3056
1084	7972	3049
1085	7979	3042
1086	7986	3034
1087	7994	3027
1088	8002	3020
1089	8009	3012
1090	8016	3005
1091	8023	2997
1092	8031	2990
1093	8039	2983
1094	8046	2976
1095	8053	2968
1096	8062	2961
1097	8069	2954
1098	8077	2947
1099	8084	2939
1100	8092	2932
1101	8099	2925
1102	8106	2917
1103	8113	2910
1104	8121	2903
1105	8128	2895
1106	8136	2888
1107	8143	2880
1108	8150	2873
1109	8157	2866
1110	8164	2858
1111	8173	2851
1112	8180	2844
1113	8187	2837
1114	8198	2830
1115	8209	2824
1116	8221	2819
1117	8230	2812
1118	8241	2806
1119	8248	2798
1120	8259	2792
1121	8267	2785
1122	8277	2778
1123	8285	2771
1124	8294	2764
1125	8302	2757
1126	8311	2750
1127	8321	2744
1128	8329	2737
1129	8338	2730
1130	8345	2722
1131	8355	2716
1132	8363	2709
1133	8373	2702
1134	8381	2695
1135	8391	2688
1136	8399	2681
1137	8408	2674
1138	8416	2667
1139	8423	2660
1140	8432	2653
1141	8439	2645
1142	8446	2638
1143	8453	2630
1144	8460	2623
1145	8469	2616
1146	8475	2608
1147	8484	2601
1148	8491	2594
1149	8500	2587
1150	8507	2579
1151	8516	2572
1152	8523	2565
1153	8531	2557
1154	8538	2550
1155	8545	2542
1156	8554	2536
1157	8562	2528
1158	8571	2521
1159	8579	2514
1160	8589	2508
1161	8599	2501
1162	8607	2494
1163	8616	2487
1164	8623	2479
1165	8632	2472
1166	8639	2465
1167	8649	2458
1168	8657	2451
1169	8666	2444
1170	8674	2437
1171	8683	2430
1172	8691	2422
1173	8700	2415
1174	8707	2408
1175	8716	2401
1176	8723	2394
1177	8732	2387
1178	8740	2379
1179	8748	2372
1180	8756	2365
1181	8762	2357
1182	8769	2350
1183	8776	2342
1184	8784	2335
1185	8791	2327
1186	8798	2320
1187	8805	2312
1188	8813	2305
1189	8820	2297
1190	8827	2290
1191	8835	2282
1192	8841	2275
1193	8848	2267
1194	8855	2260
1195	8863	2252
1196	8870	2245
1197	8877	2237
1198	8885	2230
1199	8892	2223
1200	8899	2215
1201	8906	2208
1202	8913	2200
1203	8920	2193
1204	8927	2185
1205	8935	2178
1206	8942	2170
1207	8949	2163
1208	8956	2155
1209	8963	2148
1210	8971	2140
1211	8978	2133
1212	8985	2126
1213	8992	2118
1214	9000	2111
1215	9007	2103
1216	9014	2096
1217	9022	2088
1218	9030	2081
1219	9037	2074
1220	9044	2066
1221	9052	2059
1222	9059	2051
1223	9066	2044
1224	9074	2037
1225	9082	2029
1226	9090	2022
1227	9097	2014
1228	9103	2007
1229	9110	1999
1230	9117	1992
1231	9125	1985
1232	9132	1977
1233	9139	1970
1234	9145	1962
1235	9151	1954
1236	9158	1947
1237	9166	1939
1238	9173	1932
1239	9181	1925
1240	9187	1917
1241	9194	1909
1242	9200	1902
1243	9207	1894
1244	9214	1887
1245	9220	1879
1246	9226	1872
1247	9233	1864
1248	9240	1857
1249	9246	1849
1250	9254	1841
1251	9260	1834
1252	9267	1826
1253	9274	1819
1254	9281	1811
1255	9288	1804
1256	9294	1796
1257	9301	1789
1258	9307	1781
1259	9314	1774
1260	9321	1766
1261	9329	1759
1262	9337	1752
1263	9344	1744
1264	9352	1737
1265	9359	1730
1266	9367	1722
1267	9373	1715
1268	9381	1707
1269	9388	1700
1270	9396	1692
1271	9403	1685
1272	9410	1678
1273	9418	1670
1274	9425	1663
1275	9432	1655
1276	9438	1648
1277	9446	1640
1278	9454	1633
1279	9461	1626
1280	9468	1618
1281	9475	1611
1282	9483	1603
1283	9490	1596
1284	9498	1589
1285	9505	1581
1286	9512	1574
1287	9520	1566
1288	9527	1559
1289	9534	1552
1290	9541	1544
1291	9549	1537
1292	9556	1529
1293	9564	1522
1294	9571	1515
1295	9578	1507
1296	9586	1500
1297	9593	1492
1298	9600	1485
1299	9608	1478
1300	9615	1470
1301	9622	1463
1302	9630	1455
1303	9639	1448
1304	9646	1441
1305	9653	1434
1306	9660	1426
1307	9667	1419
1308	9676	1411
1309	9684	1404
1310	9693	1397
1311	9700	1390
1312	9710	1382
1313	9719	1375
1314	9727	1368
1315	9736	1361
1316	9744	1354
1317	9754	1346
1318	9762	1339
1319	9772	1332
1320	9780	1325
1321	9789	1318
1322	9797	1310
1323	9806	1303
1324	9814	1296
1325	9823	1288
1326	9830	1281
1327	9839	1274
1328	9848	1267
1329	9857	1259
1330	9865	1252
1331	9874	1245
1332	9883	1238
1333	9891	1230
1334	9901	1223
1335	9908	1216
1336	9918	1209
1337	9926	1201
1338	9935	1194
1339	9942	1187
1340	9949	1179
1341	9957	1172
1342	9964	1164
1343	9972	1157
1344	9979	1150
1345	9987	1142
1346	9995	1135
1347	10002	1127
1348	10009	1120
1349	10016	1112
1350	10023	1105
1351	10030	1097
1352	10037	1090
1353	10044	1083
1354	10051	1075
1355	10059	1068
1356	10065	1060
1357	10073	1053
1358	10081	1045
1359	10088	1038
1360	10096	1031
1361	10102	1023
1362	10109	1016
1363	10116	1008
1364	10123	1001
1365	10130	993
1366	10137	986
1367	10145	978
1368	10152	971
1369	10160	964
1370	10167	956
1371	10174	949
1372	10181	941
1373	10188	934
1374	10195	926
1375	10202	919
1376	10209	911
1377	10216	904
1378	10223	897
1379	10230	889
1380	10237	882
1381	10244	874
1382	10252	867
1383	10260	860
1384	10267	852
1385	10275	845
1386	10282	837
1387	10289	830
1388	10295	822
1389	10303	815
1390	10310	807
1391	10317	800
1392	10324	793
1393	10331	785
1394	10338	778
1395	10345	770
1396	10353	763
1397	10360	755
1398	10367	748
1399	10375	741
1400	10382	733
1401	10389	726
1402	10396	718
1403	10403	711
1404	10411	703
1405	10418	696
1406	10424	689
1407	10431	681
1408	10438	674
1409	10445	666
1410	10451	659
1411	10458	651
1412	10465	644
1413	10473	636
1414	10480	629
1415	10487	622
1416	10495	614
1417	10502	607
1418	10509	599
1419	10516	592
1420	10524	585
1421	10531	577
1422	10538	570
1423	10546	562
1424	10553	555
1425	10560	548
1426	10568	540
1427	10574	533
1428	10582	525
1429	10589	518
1430	10596	510
1431	10603	503
1432	10609	496
1433	10617	488
1434	10624	481
1435	10632	473
1436	10639	466
1437	10647	459
1438	10654	451
1439	10661	444
1440	10668	436
1441	10675	429
1442	10682	421
1443	10690	414
1444	10697	407
1445	10705	399
1446	10712	392
1447	10720	384
1448	10727	377
1449	10734	370
1450	10741	362
1451	10748	355
1452	10755	347
1453	10762	340
1454	10769	333
1455	10776	325
1456	10783	318
1457	10789	310
1458	10796	303
1459	10802	295
1460	10810	288
1461	10817	281
1462	10824	273
1463	10832	266
1464	10839	258
1465	10845	251
1466	10853	244
1467	10861	236
1468	10868	229
1469	10876	221
1470	10883	214
1471	10891	207
1472	10898	199
1473	10905	192
1474	10912	184
1475	10919	177
1476	10926	170
1477	10934	162
1478	10941	155
1479	10950	147
1480	10956	140
1481	10963	133
1482	10971	125
1483	10978	118
1484	10986	110
1485	10993	103
1486	11001	96
1487	11007	88
1488	11015	81
1489	11022	73
1490	11029	66
1491	11036	59
1492	11043	51
1493	11051	44
1494	11058	36
1495	11065	29
1496	11072	22
1497	11079	14
1498	11086	7
1499	11094	0
