iter	Logloss
0	0.6847354687
1	0.6771437282
2	0.6690071676
3	0.6604423627
4	0.6526508624
5	0.6454207956
6	0.6397696676
7	0.6341276297
8	0.6265475498
9	0.6202059229
10	0.6135999163
11	0.6058488543
12	0.5997248904
13	0.5933443153
14	0.5875388779
15	0.5828992856
16	0.5778785742
17	0.5722893877
18	0.5689953712
19	0.5638005368
20	0.5593161406
21	0.5552985491
22	0.5504444211
23	0.5457723667
24	0.540389645
25	0.5360159177
26	0.5331605084
27	0.5289855056
28	0.524246484
29	0.5187665954
30	0.514060765
31	0.5124397589
32	0.5094214178
33	0.5050175909
34	0.5017213749
35	0.4975498012
36	0.4938291336
37	0.4910984139
38	0.4887402237
39	0.4853852604
40	0.4819332558
41	0.4780953863
42	0.4748249165
43	0.4719083734
44	0.4684999725
45	0.4658065108
46	0.4624266961
47	0.4594818837
48	0.4578798124
49	0.4546641926
50	0.4522365572
51	0.4499512471
52	0.4481954066
53	0.4456454812
54	0.4428783624
55	0.4398578673
56	0.4374897118
57	0.4357496205
58	0.4333136199
59	0.4305586592
60	0.42925327
61	0.4270557012
62	0.4245403276
63	0.4224569318
64	0.4207910756
65	0.41944478
66	0.4174584032
67	0.4150179466
68	0.4128570794
69	0.4104159845
70	0.4085113547
71	0.4067162188
72	0.4050461937
73	0.4035195331
74	0.4012620262
75	0.3996663889
76	0.3983852882
77	0.3971576452
78	0.3948749221
79	0.3929375683
80	0.3908766479
81	0.3888429773
82	0.3876026368
83	0.385633741
84	0.3837458169
85	0.3828034236
86	0.3811578086
87	0.3793565651
88	0.3775867602
89	0.3760611846
90	0.374683041
91	0.373253446
92	0.3721534709
93	0.3704168831
94	0.3694181806
95	0.3681427529
96	0.3669126092
97	0.3656683124
98	0.364651042
99	0.3639686868
100	0.3633078522
101	0.3623751649
102	0.3609225805
103	0.3597738736
104	0.3584196321
105	0.3577792306
106	0.3565925523
107	0.3553458981
108	0.3547194443
109	0.3536228482
110	0.3528359801
111	0.3517195427
112	0.3505595935
113	0.3493714839
114	0.3484800992
115	0.3474475083
116	0.3459914651
117	0.3452236657
118	0.3440187308
119	0.3423929005
120	0.3414384156
121	0.3406337438
122	0.3392728112
123	0.3382382293
124	0.337324853
125	0.3366126166
126	0.3357177354
127	0.3346745869
128	0.3334196455
129	0.3323615997
130	0.3310151075
131	0.3299536882
132	0.3292622023
133	0.3279767847
134	0.3269734576
135	0.3256299464
136	0.3249434507
137	0.3242183322
138	0.3232316445
139	0.3222257859
140	0.3212170486
141	0.3202970292
142	0.3192276806
143	0.3185399466
144	0.3181208439
145	0.3172383781
146	0.3165181279
147	0.3154323765
148	0.3145607173
149	0.3138113564
150	0.3130069138
151	0.3119764392
152	0.3110330458
153	0.3099620871
154	0.3087683053
155	0.3079775488
156	0.3070994839
157	0.3063459665
158	0.3053448408
159	0.3045140389
160	0.3039119456
161	0.3029204785
162	0.3023361365
163	0.3013536345
164	0.3004750579
165	0.2997426481
166	0.299378687
167	0.2987692933
168	0.297950538
169	0.2972809568
170	0.2970087618
171	0.2963119237
172	0.2955909736
173	0.2951358426
174	0.294639405
175	0.2938968627
176	0.293277083
177	0.2928298954
178	0.2921558407
179	0.2910237339
180	0.290507373
181	0.2897266109
182	0.2888071818
183	0.288151173
184	0.2874288217
185	0.2866501739
186	0.2862982753
187	0.2854278898
188	0.2847399088
189	0.2842521004
190	0.2834332761
191	0.2830132086
192	0.282431666
193	0.2821779337
194	0.2815067069
195	0.2806933017
196	0.2803494048
197	0.2797357539
198	0.2792945105
199	0.2788984748
200	0.2782878982
201	0.2779333796
202	0.2774512865
203	0.2767708371
204	0.2762932729
205	0.2755906022
206	0.274849964
207	0.273978926
208	0.2735601904
209	0.2731904116
210	0.2722578506
211	0.2718933641
212	0.2714900997
213	0.2708992055
214	0.2698208425
215	0.2692344491
216	0.2688719957
217	0.2682507201
218	0.2678484273
219	0.2673762623
220	0.2667836959
221	0.2662896208
222	0.2659721378
223	0.2653382467
224	0.2648738965
225	0.2645002321
226	0.263646356
227	0.2633144469
228	0.2628474933
229	0.2623520837
230	0.2618367599
231	0.261334279
232	0.2609526386
233	0.2604202709
234	0.2599391582
235	0.2592623329
236	0.2587232775
237	0.2582496723
238	0.2576019825
239	0.2570870656
240	0.2565647485
241	0.2561037401
242	0.2558464359
243	0.2552642098
244	0.2547000233
245	0.2540349234
246	0.2534731372
247	0.2528807493
248	0.2523231734
249	0.2516858936
250	0.2512919551
251	0.2507822608
252	0.2500790798
253	0.2496276692
254	0.2490526434
255	0.248706193
256	0.2482439945
257	0.2476473369
258	0.2472420524
259	0.2469464465
260	0.2462368898
261	0.2458798748
262	0.2455844776
263	0.2453187005
264	0.2449261976
265	0.2445518591
266	0.2439860408
267	0.2435507922
268	0.2430973241
269	0.2427538375
270	0.242149194
271	0.2417445568
272	0.2413035298
273	0.2409943416
274	0.2404411364
275	0.2400711426
276	0.2396815838
277	0.2391607664
278	0.2387214234
279	0.2382571785
280	0.2378855065
281	0.2375085905
282	0.2372275156
283	0.2369133682
284	0.2364120297
285	0.2361796697
286	0.2358119773
287	0.2351835901
288	0.2345987216
289	0.2343399049
290	0.2338146388
291	0.2334813453
292	0.2331283942
293	0.2327275631
294	0.2324376561
295	0.2321528419
296	0.2317576561
297	0.2313340799
298	0.2310020226
299	0.2304466165
300	0.2299767538
301	0.2296204861
302	0.2290658273
303	0.2284583344
304	0.228316164
305	0.2278440215
306	0.2275535252
307	0.226981032
308	0.2265806648
309	0.2260692681
310	0.2255394185
311	0.225100245
312	0.224802476
313	0.2245839585
314	0.2243073423
315	0.2240697169
316	0.2235307676
317	0.2231361558
318	0.2228948574
319	0.2224936934
320	0.2221239834
321	0.2217358174
322	0.2213269087
323	0.2209986208
324	0.2206751165
325	0.2201501063
326	0.219930175
327	0.2194145025
328	0.2190012088
329	0.2187222454
330	0.2182900943
331	0.2180531765
332	0.2177321092
333	0.2174039201
334	0.2169488949
335	0.2166986205
336	0.2163576757
337	0.2159944247
338	0.2155769193
339	0.2152978402
340	0.2148905124
341	0.2146838924
342	0.2144600093
343	0.21404378
344	0.2136911364
345	0.2132035114
346	0.2129521826
347	0.2125173378
348	0.2122507949
349	0.2117515678
350	0.2113868094
351	0.2111324438
352	0.2105941332
353	0.2101382037
354	0.209661736
355	0.2093136919
356	0.2088396416
357	0.2083873781
358	0.207841763
359	0.2074041486
360	0.2070430636
361	0.2065211395
362	0.2060865465
363	0.2058846591
364	0.2055777589
365	0.2053099657
366	0.2048722122
367	0.204458845
368	0.2041269915
369	0.2037640934
370	0.2032934099
371	0.202941369
372	0.2026198845
373	0.2021245747
374	0.2017455997
375	0.2014178667
376	0.2011853551
377	0.2008928173
378	0.2005796364
379	0.2003983071
380	0.1999885398
381	0.199554644
382	0.1992212919
383	0.1990502875
384	0.198556852
385	0.1982702289
386	0.1979421805
387	0.1976455931
388	0.1973676778
389	0.1969529329
390	0.1964887886
391	0.1962040253
392	0.1958044092
393	0.1954961863
394	0.1951432801
